Date,return
2020-09-15,0.04059180144159047
2020-09-16,-0.024760167140689404
2020-09-17,-0.028637416334189147
2020-09-18,-0.0005105955501880644
2020-09-21,0.036334996789964435
2020-09-22,0.007807764080374646
2020-09-23,-0.0427606329777106
2020-09-24,0.005234784589503327
2020-09-25,0.020503706692067247
2020-09-28,0.015962844521510533
2020-09-29,0.005751323253379681
2020-09-30,0.013185740714774852
2020-10-01,0.053499746848182816
2020-10-02,-0.04745839860212975
2020-10-05,0.03436863544035251
2020-10-06,-0.02879836823712356
2020-10-07,0.05535127099333703
2020-10-08,-0.005382347371475582
2020-10-09,0.014282935699995392
2020-10-12,0.0006856523172249496
2020-10-13,0.026109955624898262
2020-10-14,-0.02307642827480194
2020-10-15,0.0009045500902891135
2020-10-16,-0.020788877312870824
2020-10-19,-0.00013190140027230512
